分区方案,计费分区,费用类型,计费单位,开始重量段,截止重量段,价格值,折扣
郑州邮政小包PLUS,1,挂号费,票,0,2,10,0.85
郑州邮政小包PLUS,2,挂号费,票,0,2,10,0.85
郑州邮政小包PLUS,3,挂号费,票,0,2,8,0.85
郑州邮政小包PLUS,4,挂号费,票,0,2,8,0.85
郑州邮政小包PLUS,5,挂号费,票,0,2,8,0.85
郑州邮政小包PLUS,6,挂号费,票,0,2,8,0.85
郑州邮政小包PLUS,7,挂号费,票,0,2,8,0.85
郑州邮政小包PLUS,8,挂号费,票,0,2,8,0.85
深圳邮政小包PLUS分区,1,挂号费,票,0,2,10,1
深圳邮政小包PLUS分区,2,挂号费,票,0,2,10,1
深圳邮政小包PLUS分区,3,挂号费,票,0,2,8,1
深圳邮政小包PLUS分区,4,挂号费,票,0,2,8,1
深圳邮政小包PLUS分区,5,挂号费,票,0,2,8,1
深圳邮政小包PLUS分区,6,挂号费,票,0,2,8,1
深圳邮政小包PLUS分区,7,挂号费,票,0,2,8,1
深圳邮政小包PLUS分区,8,挂号费,票,0,2,8,1
燕文中邮PLUS,1,挂号费,票,0,2,10,1
燕文中邮PLUS,2,挂号费,票,0,2,10,1
燕文中邮PLUS,3,挂号费,票,0,2,8,1
燕文中邮PLUS,4,挂号费,票,0,2,8,1
燕文中邮PLUS,5,挂号费,票,0,2,8,1
燕文中邮PLUS,6,挂号费,票,0,2,8,1
燕文中邮PLUS,7,挂号费,票,0,2,8,1
燕文中邮PLUS,8,挂号费,票,0,2,8,1
杭州E邮宝线下分区NEW,1,单票费,票,0,0.001,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.001,0.002,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.002,0.003,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.003,0.004,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.004,0.005,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.005,0.006,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.006,0.007,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.007,0.008,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.008,0.009,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.009,0.01,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.01,0.011,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.011,0.012,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.012,0.013,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.013,0.014,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.014,0.015,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.015,0.016,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.016,0.017,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.017,0.018,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.018,0.019,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.019,0.02,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.02,0.021,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.021,0.022,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.022,0.023,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.023,0.024,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.024,0.025,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.025,0.026,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.026,0.027,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.027,0.028,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.028,0.029,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.029,0.03,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.03,0.031,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.031,0.032,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.032,0.033,7.65,1
杭州E邮宝线下分区NEW,1,单票费,票,0.033,0.034,7.65,1
